Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g)
vegan,Ian's Vegan Chili,american,155.27,571.66,106.53
vegan,EASY VEGAN COCONUT CURRY NOODLE BOWLS,asian,24.54,181.37,107.56
vegan,"Vegan ""B.L.A.T.""s: Lettuce, Tomato, Avocado, and Crispy Smoked Mushroom Sandwiches Recipe",american,20.82,77.06,45.26
vegan,Vegan Chickpea Crab Cakes,american,81.59,304.48,221.1
vegan,No-churn Vegan Peanut Butter Chocolate Chip Ice Cream recipes,american,95.88,416.83,477.74
vegan,Fully Loaded Vegan Baked Potato Soup Recipe,american,59.15,222.48,150.25
vegan,"Vegan Sausage, Kale and Cauliflower Potpie",american,149.81,395.9,150.42
vegan,Vegan Misir Wot Pierogi,central europe,168.87,870.67,50.77
vegan,You Won't Believe it's Vegan Pumpkin Pie,american,36.0,304.6,92.59
vegan,Vegan Lasagna alla Bolognese Recipe,italian,72.92,373.65,54.98
vegan,Vegan and Gluten-Free Fruit and Almond Shortbread Bars,american,31.11,463.9,275.34
vegan,Vegan Spiced Pumpkin Pie Glo Bites,american,38.34,243.38,68.53
vegan,Black-Bottom Peanut Butter Freezer Pie,american,94.34,522.29,354.72
vegan,Vegan Shepherd's Pie,american,98.26,498.68,200.96
vegan,Vegan Italian Roasted Eggplant Bisque,american,22.05,79.91,36.02
vegan,"Bacon Ranch Salad, Now In Vegan Form!",american,37.9,51.12,156.63
vegan,Chef Chloe's Best-Ever Vegan Baked Macaroni and Cheese,american,133.22,511.08,63.01
vegan,GRAIN FREE + VEGAN LIME PIE BARS,american,24.81,143.11,186.7
vegan,Vegan Cream of Mushroom Soup With Crispy Shiitake Chips Recipe,american,38.03,122.84,130.18
vegan,Chocolate Chip Cake with Buttercream Icing (Vegan),american,50.97,1002.35,676.53
vegan,Mushroom and Pea Tart (vegan friendly),american,73.9,378.91,130.61
vegan,Can't-Believe-It's-Vegan Chili,american,214.61,484.66,105.34
vegan,This Ain’t Grandma’s Sweet Potato Casserole (Vegan) recipes,american,26.46,323.89,132.46
vegan,Tomato and basil bruschetta (for vegans and non vegans alike),american,25.17,97.93,57.09
vegan,Heirloom Tomato BLTs recipes,american,259.09,789.39,168.65
vegan,"Instant Pot Buffalo Sweet Potato Soup {Vegan, Whole30, Paleo, Gluten-Free}",american,14.26,79.07,109.53
vegan,Itty Bitty Herbed Garlic Pumpkin Knots With Vegan Parmesan Cheese,american,23.25,124.6,45.81
vegan,Vegan Chocolate-Covered Digestive Biscuits Recipe,american,37.68,313.69,226.63
vegan,Vegan Slow-Cooker Sweet Potato Chili,american,65.82,224.74,32.78
vegan,Vegan Chickpea Cakes with Mashed Avocado Recipe,american,74.62,351.32,160.23
vegan,Classic Vegan Gumbo,american,122.54,442.68,229.02
vegan,Vegan Spinach and Artichoke Dip Recipe,mediterranean,66.61,157.17,89.84
vegan,Vegan Black Bean and Squash Chili Recipe,american,97.48,229.27,101.69
vegan,Gluten Free Vegan Fudgy Black Bean Brownies Recipe,french,40.59,314.63,95.06
vegan,"Easy Cucumber Noodles with a Vegan Basil Cream, Tomatoes and Pine Nuts recipes",american,46.69,165.17,170.8
vegan,Vegan Chocolate Cake and Frosting recipes,american,76.8,1295.31,756.82
vegan,Vegan katsu curry,american,79.46,265.89,116.58
vegan,"Super Healthy, But Doesn’t Taste It Vegan Banana Bread",american,38.31,441.56,109.48
vegan,Mexican Hot Chocolate Cupcakes with Whipped Cream (vegan),american,38.34,330.17,174.65
vegan,Vegan Egg Salad Sandwich recipes,american,74.95,102.31,85.59
vegan,Vegan Chocolate Tart With Salted Oat Crust,american,61.46,529.8,330.19
vegan,Smoky Tomato & Garlic Spelt Risotto with Crumbled Vegan Feta,mediterranean,66.35,290.35,116.51
vegan,Vegan Chocolate Tart with Salted Oat Crust recipes,american,61.46,529.8,330.19
vegan,Wholegrain Pitta with Tomatoes and Pesto,italian,6.98,31.38,12.07
vegan,The Best Vegan Baked Mac & Cheese Recipe,american,83.66,441.39,81.04
vegan,Try This Vegan Recipe For Stuffed Mushroom Burgers recipes,american,99.49,616.7,137.2
vegan,Grits Cheesecake,american,65.26,514.5,240.49
vegan,"Vegan, Gluten-Free Double Chocolate Muffins",american,44.62,454.71,320.21
vegan,Gluten-Free Sweet Potato Cardamom Macadamia Brownies,french,22.67,234.49,171.88
vegan,Lime Cheesecake,american,56.74,279.19,145.24
vegan,Crowd-Pleasing Vegan Caesar Salad recipes,american,87.84,199.83,121.3
vegan,Crowd-Pleasing Vegan Caesar Salad recipes,american,88.56,202.18,124.26
vegan,Vegan Frosting,american,1.45,0.1,301.59
vegan,Beluga Lentil Caviar on Blini,eastern europe,49.59,180.15,91.1
vegan,Chocolate-Covered Matzo Bark,french,30.6,270.36,103.89
vegan,Vegan pesto,american,25.51,22.8,172.61
vegan,Hadley’s Vegan Apple Spice Muffins With Oatmeal Streusel Topping,american,43.71,505.55,89.84
vegan,Matcha Green Tea Ice Cream Sandwich with Vegan Ginger Molasses Cookies Recipe,american,92.89,1079.21,330.99
vegan,Carrot & caraway crackers,american,19.35,185.39,46.89
vegan,Chocolate Walnut Bites Recipe,american,70.47,524.05,165.8
vegan,Vegan Queso,american,43.24,61.71,62.75
vegan,Vegan Root Beer Coconut Ice Cream,american,12.15,177.57,91.47
vegan,Vegan Meringues,american,29.98,240.24,11.78
vegan,Vegan Pesto,american,15.28,24.1,75.12
vegan,Vegan burritos,american,135.16,595.7,98.97
vegan,Vegan Masa,american,99.13,891.96,223.08
vegan,Vegan fajitas,american,42.5,182.74,52.72
vegan,Vegan nuggets,american,91.67,262.84,45.06
vegan,Vegan meatballs,american,55.2,233.31,79.82
vegan,Vegan Dumplings,american,8.71,102.45,18.76
vegan,Barbecue Pulled Jackfruit Sandwiches,american,27.91,406.7,94.66
vegan,Vegan Queso,american,54.39,74.21,73.09
vegan,Vegan Lasagna,american,101.15,272.84,66.63
vegan,Vegan Sushi,japanese,31.81,295.6,11.96
vegan,Vegan Kimchi,american,104.24,539.25,14.78
vegan,Classic Cinnamon Rolls recipes,nordic,81.33,788.44,176.4
vegan,Vegan Meatballs,american,55.47,198.88,69.92
vegan,Vegan Gyoza,american,198.89,851.59,80.86
vegan,Fancy Green Beans,american,9.51,33.92,11.36
vegan,Raw Chocolate Mousse recipes,american,55.3,385.05,192.81
vegan,Vegan Gravy,american,16.42,50.17,27.99
vegan,Hummus Tartine with Sprouts recipes,mediterranean,8.37,34.76,18.01
vegan,Vegan Mayonnaise,american,22.97,25.13,106.85
vegan,Vegan Eggnog,american,28.72,151.67,136.98
vegan,Gluten-Free Sweet Potato Pie,american,22.83,226.55,165.84
vegan,Vegan Vichysoisse,american,34.11,254.47,41.28
vegan,Vegan Nachos,american,119.72,312.06,136.44
vegan,Heirloom Tomato BLT,american,67.86,133.37,114.89
vegan,Toasted Coconut and Almond Butter,american,66.39,96.28,197.65
vegan,Summer Baked Beans recipes,american,12.72,3204.43,53.92
vegan,Vegan Gravy,american,15.33,88.78,63.28
vegan,Sweet Potato Turnovers with Sweet Kraut,french,18.53,340.31,95.89
vegan,Vegan Chili,american,77.37,290.62,53.2
vegan,Vegan Chili,american,83.07,289.12,24.89
vegan,Vegan Cassoulet,american,32.89,192.7,911.66
vegan,Chocolate Chip Pumpkin Bread,american,41.34,466.58,154.67
vegan,Vegan Lasagna,american,175.6,469.02,121.44
vegan,Cherry Tomato Zucchini Noodles,asian,11.46,39.76,14.13
vegan,"Pb, J & Chocolate Love Pie",american,62.69,275.49,262.8
vegan,Red lentil & sweet potato pâté,french,37.67,118.32,15.72
vegan,Double-Chocolate Glazed Doughnuts,american,26.65,316.79,119.73
vegan,Vegan cashew Parmesan,american,59.46,65.69,67.7
vegan,Vegan Mayonnaise Recipe,american,9.89,4.19,341.1
vegan,Rustic Garlic and Asparagus Tofu Quiche Is a Slice of Sunshine,french,16.32,119.85,87.04
vegan,Vegan Corn Soup,american,29.92,164.72,38.37
vegan,Chocolate Sunflower Butter Spread recipes,american,9.19,136.89,228.0
vegan,Vegan Cauliflower Soup,american,26.33,36.65,29.47
vegan,Vegan Yorkshire puddings,british,28.33,194.44,41.45
vegan,"Vegan ""Ice Cream""",american,3.15,28.35,4.84
vegan,Vegan Christmas pudding,american,60.68,1131.87,113.81
vegan,Grilled Avocado Sandwich,american,7.0,31.62,8.68
vegan,Vegan Asparagus Risotto,american,30.84,247.0,16.36
vegan,Vegan lemon cheesecake,american,80.07,223.02,266.4
vegan,Vegan Mushroom Gravy,american,10.93,37.1,41.71
vegan,Vegan Blueberry Crisp,american,30.9,196.29,153.5
vegan,Vegan lemon cake,american,29.37,568.68,97.64
vegan,Chocolate-Covered Banana Ice Cream Bars,american,43.88,239.08,154.42
vegan,Vegan Lemon Cake,american,27.09,473.21,76.49
vegan,"Oat Milk Tres ""Leches"" Cake",south american,118.03,713.21,278.89
vegan,"Steamed Buns with Simmered Daikon and Shiitake, Pickled Bean Sprouts, and Spicy Mayonnaise (Vegan) Recipe",american,78.57,442.46,59.91
vegan,Easy vegan pho,american,18.65,106.31,15.27
vegan,Vegan Chocolate Sorbet,american,7.27,173.78,51.9
vegan,Vegan Black Beans,american,104.19,316.86,49.68
vegan,Easy vegan burgers,american,49.36,466.88,24.18
vegan,Vegan Chocolate Cake,american,50.01,722.29,229.58
vegan,Vegan Sourdough Stuffing,american,64.61,290.67,54.0
vegan,Vegan Sweet Potato and 2-Bean Chili With Hominy Recipe,american,135.92,583.76,59.5
vegan,Vegan Chickpea Curry,american,71.67,244.33,64.8
vegan,Vegan Baked Beans,american,98.26,403.51,48.14
vegan,Vegan Mapo Tofu,american,52.07,60.56,56.37
vegan,Vegan Chili Mac,american,74.67,242.04,66.9
vegan,Vegan Scalloped Potatoes,american,37.1,298.65,73.61
vegan,Vegan Christmas cake,american,101.45,1210.44,371.51
vegan,Vegan Rice Pudding,british,27.49,328.04,84.0
vegan,Vegan Spring Risotto,italian,25.13,212.46,16.39
vegan,Vegan mince pies,american,71.56,727.39,268.62
vegan,Vegan Eggplant Lasagna,italian,130.69,183.5,96.88
vegan,Simple Vegan Pesto,american,35.18,28.08,155.98
vegan,Vegan Mayonnaise recipes,american,2.4,16.16,82.56
vegan,Vegan Hoppin' John,american,45.97,391.64,27.27
vegan,Vegan Chocolate Ganache Cupcakes with Salted Caramel and Dark Chocolate Buttercream,american,120.61,1486.52,685.22
vegan,Vegan Thai curry,south east asian,81.25,376.16,143.38
vegan,Vegan Miso Pesto,american,10.76,16.9,79.51
vegan,Roasted Veggie Mason Jar Salad,asian,30.27,24.73,22.72
vegan,Vegan Mac & Cheese,american,85.38,300.79,83.5
vegan,Vegan Chocolate Mousse,american,41.81,212.07,100.09
vegan,Korean Shrimp Cocktail,american,185.31,22.83,93.78
vegan,Vegan Anytime Risotto,american,67.37,327.18,59.52
vegan,Vegan Salad Nicoise,american,74.16,120.17,380.98
vegan,Vegan Mashed Potatoes,american,11.66,96.4,54.73
vegan,Low-key Iridofu Or Scrambled Tofu With Vegetables recipes,asian,74.74,32.31,40.2
vegan,Vegan Sesame Grill,american,12.67,77.56,12.17
vegan,Vegan Jackfruit Tacos,american,63.86,303.01,67.49
vegan,Tofu Salad,asian,18.76,32.32,17.91
vegan,Deviled Potatoes,mediterranean,120.85,767.12,18.23
vegan,Vegan Potato Soup,american,79.69,262.1,130.71
vegan,Vegan Caesar Dressing,american,22.05,31.41,44.91
vegan,Vegan Summer Succotash,american,28.19,112.52,25.87
vegan,Vegan Tikka Masala,american,106.33,309.79,144.92
vegan,Vegan Enchilada Casserole,american,151.55,654.47,56.44
vegan,Vegan Chocolate Milkshake,american,21.17,120.27,41.1
vegan,Jalapeño Pesto Potato Tamales,south american,43.71,343.61,198.67
vegan,Vegan Basil Pesto,american,20.29,25.97,96.69
vegan,Vegan Banana Muffins,american,22.36,316.56,118.11
vegan,Massaged Kale Salad recipes,mediterranean,37.56,101.22,88.18
vegan,Vegan Basil “Chicken”,american,70.45,43.51,63.81
vegan,Vegan Lentil Soup,american,62.9,181.19,31.82
vegan,Vegan Pumpkin Bread,american,43.54,417.73,112.34
vegan,Gena Hamshaw's (Vegan) Deli Bowls With Smashed Chickpea Salad,american,121.33,340.49,177.38
vegan,Decadent Vegan Brownies,french,23.33,339.8,113.64
vegan,Vegan Pear Tart,american,28.5,296.05,112.24
vegan,Vegan Blueberry Muffins,american,33.07,422.0,94.49
vegan,Vegan Penne Vodka,american,86.64,434.2,76.53
vegan,Vegan Scalloped Potatoes,american,61.88,199.46,65.27
vegan,Beet Jerky recipes,american,15.59,69.3,0.97
vegan,Vegan Chickpea Alfredo,american,142.21,512.07,75.14
vegan,Vegan Buddha Bowl,american,57.85,227.15,105.16
vegan,7 layer mexican dip,mexican,102.31,337.22,197.22
vegan,Vegan Coconut Bars,world,14.76,330.45,79.45
vegan,Vegan Zucchini kofta,american,37.62,152.18,196.5
vegan,Vegan Portobello Muffuletta,american,47.7,190.91,70.41
vegan,Vegan Chocolate Babka,american,38.94,333.75,88.42
vegan,Vegan Brownies recipes,french,66.43,400.61,228.71
vegan,Seitan,asian,186.43,70.93,30.6
vegan,Vegan tarka dal,american,116.89,316.1,45.52
vegan,Southeast Asian Inspired Vegan Apple Blackberry Pie With Coconut Crumb Topping And Coconut Scented Crust,american,55.31,770.24,267.22
vegan,"Dark Chocolate, Chia, and Cherry Pecan Bar",american,10.48,94.15,67.01
vegan,Vegan Pumpkin Chili,american,61.67,276.87,37.83
vegan,Vegan Chocolate Dipped Strawberries,american,8.66,83.05,46.09
vegan,Plain Cake Donut,american,14.71,558.56,76.65
vegan,Vegan Pad Thai,south east asian,123.43,287.59,133.03
vegan,Vegan Peach Cobbler,american,75.12,622.73,68.91
vegan,Couscous with Pine Nuts and Currants,american,18.2,105.12,32.85
vegan,Baby Bok Choy Salad with Mama O's Kimchi Paste,chinese,6.02,21.02,0.95
vegan,Vegan cashew cream cheese,american,62.25,90.89,110.77
vegan,Easy Vegan Chocolate Truffles,american,50.68,309.97,200.92
vegan,Vegan Pumpkin Pie,american,44.62,371.87,350.17
vegan,Vegan Chocolate & Pumpkin Pudding,british,4.65,77.96,4.75
vegan,Easiest ever vegan gravy,american,3.12,9.71,5.39
vegan,Cranberry-Carrot Cake Recipe,american,63.64,457.67,101.36
vegan,Massaged Kale Salad Recipe,american,37.56,101.22,80.74
vegan,Vegan Saffron Risotto,american,72.96,427.95,33.85
vegan,Vegan Lasagna recipes,american,141.85,361.97,150.89
vegan,Vegan French-Fried Onions,american,7.01,45.29,7.68
vegan,Vegan Double Caramel Flan,american,23.14,313.45,51.01
vegan,Vegan Mocha Mousse Recipe,american,75.54,201.64,83.46
vegan,Purple Carrot's Jalapeño Popper Potato Skins,american,83.47,343.82,132.41
vegan,Vegan Palak Paneer,indian,69.07,87.68,64.8
vegan,Vegan kale pesto pasta,american,85.33,299.08,87.91
vegan,Vegan vanilla ice cream,american,17.39,209.12,171.18
vegan,Chunky Peanut Butter Fudge Squares,american,57.88,212.55,153.01
vegan,Vegan Spaghetti alla Puttanesca,american,67.2,375.92,56.82
vegan,Vegan Bistro Lunch Box,american,8.25,28.23,8.52
vegan,Vegan Avocado Ice Cream,american,14.45,190.05,130.85
vegan,Vanilla Torte With Raspberry Filling And Chocolate Frosting,american,114.32,908.43,238.33
vegan,Vegan Asparagus Avocado Soup,american,40.99,112.72,125.04
vegan,Kale Slaw recipes,american,12.4,57.01,20.99
vegan,Inclusive Vegan Sour Cream,american,8.61,15.68,36.19
vegan,Vegan Chocolate-Ganache Frosting,american,19.52,191.74,165.39
vegan,Smoky spiced veggie rice,american,72.5,477.82,76.99
vegan,Vegan mac 'n' cheese,american,120.58,520.01,162.1
vegan,Easy Vegan Bacon Bits,american,59.11,49.68,0.38
vegan,Healthy Vegan Snacking recipes,american,6.02,127.9,1.98
vegan,Vegan BBQ teriyaki tofu,asian,71.0,62.88,53.38
vegan,Vegan Lentil Soup Recipe,american,117.97,329.04,33.72
vegan,Vegan Carbonara Pasta Recipe,american,114.96,383.39,128.65
vegan,Vegan Coconut Chickpea Curry,american,86.87,501.32,53.58
vegan,Vegan Sweet Potato Casserole,american,36.04,307.12,110.7
vegan,Vegan Basil Cashew Pesto,american,28.42,30.95,99.52
vegan,Vegan lemon meringue pie,american,26.72,385.51,193.03
vegan,Vegan Grape Jelly recipes,american,1.09,99.98,0.24
vegan,Vegan Chickpea Coconut Curry,american,19.93,100.18,134.96
vegan,Chargrilled Artichokes Hummus [vegan],mediterranean,35.61,115.73,43.49
vegan,Easy Brown Rice & Veggie Wrap,chinese,11.03,52.26,19.43
vegan,Vegan Olive Oil Cake,american,36.09,492.72,221.5
vegan,Vegan Kaju Matar Masala | Vegan Cashew and Green Peas Curry,indian,39.11,104.85,97.12
vegan,Vegan Fettuccine Alfredo Recipe,american,125.93,357.2,139.6
vegan,Asparagus Garlic Scape Pesto Spaghetti recipes,italian,16.02,42.41,54.27
vegan,Vegan Chocolate Frosting recipes,american,7.27,143.81,160.91
vegan,The best vegan tacos,american,73.62,221.55,34.38
vegan,Vegan Superfood Buddha Bowls,american,74.84,234.13,70.8
vegan,Whole Spelt Vegan Pasta,american,17.2,98.28,15.52
vegan,Vegan Vanilla Ice Cream,american,25.52,107.14,61.4
vegan,Root Vegetables Jazzed Up!,american,8.66,99.05,14.91
vegan,Vegan Cashew Caesar Salad,american,38.86,89.46,101.6
vegan,Raw Vegan Coconut Macaroons,american,31.57,95.83,112.34
vegan,Vegan Strawberry Ice Cream,american,5.79,222.43,5.76
vegan,Simplest Chocolate Mousse,british,46.49,138.98,128.96
vegan,Vegan Peach Ice Scream,american,13.42,177.68,9.47
vegan,Roasted Veggie Brown Rice Buddha Bowl,asian,29.38,45.68,19.5
vegan,Simple Vegan Pesto Zoodles,american,29.84,63.91,92.41
vegan,Vegan Mango Lassi recipes,world,5.81,155.67,10.77
vegan,Vegan Nectarine Ice Cream,american,12.36,151.54,97.35
vegan,Vegan Vanilla Ice Cream,american,17.21,115.94,180.87
vegan,Grilled Corn with Sriracha Mayo,mediterranean,21.18,84.51,72.18
vegan,Saweet! Potato Casserole with a Crunchy Nut Crumble recipes,american,66.71,586.67,225.24
vegan,Recent stonesoup vegan recipes,american,7.62,17.64,9.59
vegan,"Vegan ""Cheesy"" Pumpkin Seeds",american,83.58,32.84,153.89
vegan,Vegan Butternut Squash Soup,american,17.34,91.39,115.59
vegan,Vegan Lemon Asparagus Risotto,american,54.8,225.11,31.22
vegan,Satoimo (taro Root) Cooked In Miso With Tofu recipes,asian,41.19,114.26,19.73
vegan,Cold Avocado Soup With Sweet Corn And Bacon,south american,28.33,85.11,94.31
vegan,Cranberry-topped Sourdough Coffee Cake,american,43.4,518.9,141.93
vegan,No-Bake Strawberry Pie,american,18.95,373.66,70.16
vegan,Vegan Baked Banana Donuts,american,6.02,308.57,4.73
vegan,Jerseylicious Vegan Peach Pie,american,32.45,368.31,113.84
vegan,Vegan Caprese Salad recipes,american,61.81,46.18,75.54
vegan,Vegan Raw Plantain Salad,american,8.8,139.47,2.19
vegan,Vegan Fresh Pasta Dough.,american,35.58,262.82,7.89
vegan,Hearts of Baltimore Crab Cakes,mediterranean,30.74,84.99,104.24
vegan,Garlicky Baked Butternut Squash recipes,american,32.14,190.38,39.93
vegan,Green Tea Ice Cream,american,11.9,143.33,92.97
vegan,Asparagus recipes,chinese,11.74,10.23,32.11
vegan,Ultimate Vegan Thanksgiving Gravy,american,27.2,102.17,42.17
vegan,Perfect Vegan Pie Crust,american,29.06,223.51,111.76
vegan,Thyme roasted vegetables,american,8.56,146.03,42.54
vegan,Vegan Banana Cashew Yogurt,american,29.25,102.35,62.48
vegan,Homemade Vegan Kimchi Recipe,american,33.83,108.25,14.19
vegan,Easy Vegan Pad Thai,south east asian,69.47,523.83,45.24
vegan,Tomato Tart,french,17.48,100.57,44.06
vegan,Vegan Chocolate Orange Muffins,american,34.66,266.45,64.99
vegan,Pecan Butter,american,18.36,47.61,162.93
vegan,Vegan Seafood Spelt Pasta,american,54.91,264.71,49.65
vegan,Raw vegan spag bol,american,78.97,245.02,44.98
vegan,Maple Frosted Pumpkin Cake Recipe,american,66.83,938.29,252.26
vegan,Vegan Vanilla Cashew Cream,american,18.23,31.25,43.86
vegan,Vegan Mediterranean Pita Pockets,american,120.28,197.28,115.53
vegan,Vegan Green-Goddess Dip,american,3.6,13.98,71.09
vegan,Vegan Caprese Salad recipes,american,57.58,46.33,29.68
vegan,Easy Green Chile Quesadilla Recipe With Sprouted Corn Tortillas,mexican,34.34,48.42,50.87
